E42_FC_early	E42_FC_late	E42_FC_mid	E42_OC_early	E42_OC_late	E42_OC_mid	E77_FC_early	E77_FC_late	E77_FC_mid	E77_OC_early	E77_OC_late	E77_OC_mid
WNT6	TNFRSF1A	XPNPEP2				COL9A3	MOCOS	LOC114679975			
ZBTB38	TBX2	FLNC				DNASE1L1	CA9	SERPINE1			
RGS10	BMP1	ENPEP				ADAMTS14	MYO18B	MOCOS			
ARHGDIB	SELENOP	F2RL2				ACSL5	MCHR1	SCG2			
HDAC7	GREB1	TMEM204				FAM81B	CATSPERZ	SPATA17			
SEC24D	CALR	AGTR2				RCVRN	SYT4	LOC106999235			
EVC2	FMOD	SHC1				ITGB3	SLC15A3	CPA5			
TMEM109	SLIT2	TH				PDE8A	EOMES	HGF			
PYCR1	IL11RA	MATN2				CNMD	HOOK1	METTL7B			
ATF5	CTSD	RASL10B				CELSR1	PLA2G3	GRIN2A			
HEXB	PI16	CST3				PLP2	TEAD4	NEFL			
ADORA2B	ITGB4	TNFRSF1A				LOC100430406	C20H16orf89	LOC114677713			
SP100	WIF1	BTN3A3				PAPSS2	GLRA2	DBX2			
SH2B3	PLA2G4A	ATP1A2				HYDIN	KATNAL2	LOC114680320			
EMP3	MAMU-E	ARHGAP31				TCEAL7	LOC107000278	LOC114672648			
GALNT12	SIX2	CYP2C76				LOC106997633	LOC100424674	PSMB8			
LOC703641	SLC16A2	MRVI1				ATP1B1	MIR556	ICAM1			
FOXD2	COLEC12	MAP1LC3C				BFSP1	LOC106999410	MPZ			
IGF2R	HSPA5	DUSP7				P2RX6	ICAM5	NQO1			
COL12A1	LAMC3	BCL3				TGFB1	C8H8orf34	LOC106997185			
RCN1	IL6ST	SCN7A				LOC114672781	LOC114671494	CATIP			
TNFRSF1B	PRDX4	MYL9				C3H21orf62	LOC114670756	TCTEX1D1			
MRGPRF	MERTK	EDA				SP8	PDK4	RASGEF1C			
GXYLT2	TLL1	PAQR8				AHR	LOC114670761	HRH1			
FKBP10	TMEM64	SSC5D				SERPING1	SCG2	C4H6orf223			
P3H1	SLC6A12	MMP14				SYTL5	LOC114674519	LAMB1			
LOC695105	RREB1	EBF2				F11R	TBC1D30	PTCHD1			
SLC25A43	CDON	ASTN2				KLHDC8A	PPP1R32	DRD1			
NTM	CASP8	MOB3C				GJA1	LOC114674288	NR1I2			
ANXA11	IGF2BP1	NUCB1				PROB1	CYYR1	OSBPL10			
MSRB3	RARRES2	PTGDR				TTC25	LONRF3	DLEC1			
SLC7A11	PCBP3	LOC114676270				LRRC23	LOC100426310	NPY			
APOD	PDIA6	NT5C1A				ABCA5	ECM2	LOC114674107			
RHOB	LOC707383	SLC7A8				LOC114672820		CA2			
TNFRSF21	SFRP2	LOC708725				SERPINE1		PLA2G7			
CAV2	SVEP1	ENPP6				GABRG3		TM6SF2			
PDZD2	CARD6	S100B				LOC114670842		TMCO4			
PDE3A	SQOR	MIR199A-1				MMP19		PCDH20			
HSBP1L1	ANXA11	LURAP1L				LOC106993126		ALDH3A1			
ADRA1A	LDLRAP1	MVP				LOC114673061		C4H6orf141			
PDGFD	FNDC10	PAX2				DLG2		C13H2orf70			
P4HA1	ITGA9	CD40				COL1A2		LOC717214			
COL11A1	PDIA3	CARD6				SPAG6		IGFBP7			
RHOJ	PDIA4	CSTA				DMGDH		LOC718978			
ZFP42	SPATA20	P4HA1				DNAH1		CRNDE			
IGFBP6	SLC38A10	SLC15A3				NEK5		DES			
SLC30A4	APCDD1	P2RY14				LOC114677036		LOC694113			
MIR199A-1	ICOSLG	STAC2				C13H2orf50		KLK6			
CD302	PARVB	PPFIBP1				PMAIP1		IL1R1			
SSPN	ST14	LOC695105				DSP		ABHD15			
ENPEP	TTC39B	ITM2C				MAP1LC3C		LOC114671296			
OTULINL	SLC6A1	CD302				IGSF10		TGFB1			
HSPB8	RASL11B	ECSCR				ELFN1		ISL1			
ESYT2	CD81	LPAR6				ARFGEF3		KCNE1			
DKK2	IGSF21	KLF5				CACNA1A		EGR2			
FXYD1	DPP4	RHOU				LOC114674451		CCNO			
FILIP1L	EVA1B	RASA3				PLEKHG4B		SPTLC3			
FUT11	PTPRU	C5H4orf36				TM4SF1		CCN2			
DMRTA1	NFATC4	IGF1				MET		CDH18			
MRVI1	DAP	ARHGAP10				SERPINA3		CNTN2			
DLC1	DTX3L	PRR35				AK7		EBF3			
LOC703708	EHD2	PLSCR4				THBS4		PRICKLE3			
OGN	SMTNL2	CAVIN1				PIH1D2		LOC106998479			
LOC106993196	CDC42EP2	TRPC6				CAV2		COL16A1			
PLA2G4A	PRDM6	CDKN1C				MAP3K19		OCA2			
LRRC15	ZNF423	LARP6				ARMC2		LOC106996955			
CALCRL	HTRA3	CFAP77				HS3ST5		SPOCK1			
LOC114679637	HS3ST3A1	PTGER2				INHA		STARD8			
SEPTIN5	PROS1	SLC41A1				PIFO		PLAT			
ADAMTS15	RIN2	ARMC3				C6H5orf49		INHA			
PKDCC	THBD	ADRA1D				FANK1		MT3			
BMP1	ARSI	LOC106998995				CFAP221		LOC702037			
ITIH5	C3H21orf62	AOX1				CCND1		PIH1D3			
SAMD11	ABCG2	ECHDC3				RSPH4A		LOC114679948			
LOC114672696	ESYT2	LAYN				FAS		VSTM2L			
ARMC3	SFRP4	ITGBL1				SLC22A18		LOC106995078			
ITGB1	PODN	AKAP12				SFRP2		RGS8			
RBM24	PAPSS2	PGM5				SPATA17		MAP1LC3C			
ZNF860	TNFAIP2	SCPEP1				ECT2L		LOC114672420			
PDLIM2	PLCB4	ALS2CL				HTR1D		MORN5			
CNTNAP1	IGFBP2	GPX7				PPIL6		MIR370			
CFAP77	GLB1	LOC114677731				S100A16		SNAI2			
TRNP1	SURF4	MAF				COL3A1		LOC114679988			
TRPM4	THY1	CFAP61				IER3		LOC114678141			
TSPAN18	CDH5	RORA				ARMC3		DBNDD1			
ANXA1	WNT2B	TNS1				CA2		TMEM132E			
DOCK5	ANPEP	HCAR1				IRS4		CCL2			
P2RY14	GNS	IL4R				RAB44		AEBP1			
SYNC	LMAN1	ADAMTS9				ZNF860		KLF4			
CTSK	PCSK9	ENDOD1				ACTG2		LOC106993037			
FES	RCAN2	CPZ				CDKN2B		LOC114673082			
LOC106999521	LOC722148	GDF6				CD1D		DMTN			
IGF1	SH3PXD2A	SH2B3				LOC106997908		RXRG			
CRTAP	GLIPR1	CFAP52				NFE2L3		CHRDL2			
RHOC	PLBD1	MYO3A				NEK10		ZNF860			
TBC1D2B	LOC114670966	MDFIC				AFAP1L2		TEKT3			
PRSS12	TLN1	CLYBL				LOC114671296		GREB1L			
ITIH1	LOXL1	CALHM5				ABLIM3		LOC106998390			
JUP	ARHGAP36	ANXA2				LOC114679975		RHOD			
PODN	TH	IFIT2				LOC106999410		TESC			
LPAR6	PDGFRB	TRIM22				SCN7A		ELOVL7			
MSC	CD34	IL16				CLDN5		EFEMP1			
CDKN1C	ANXA3	TXLNB				PCSK1		MFSD2B			
PCOLCE2	MOB3C	ANKS6				LOC106999287		AK9			
LOC114678892	CAVIN3	GBP3				BAMBI		DNAH12			
HSPA12A	C2	CALU				LOC706293		COL1A2			
LIPA	NAGA	SPOCK2				TFPI2		C9H10orf105			
STC2	SNED1	CFB				TMC7		SERPINA3			
KCNJ12	TJP1	CRABP1				THEGL		LOC114676107			
MXRA8	CPXM1	MMP25				DNAH6		SLC24A2			
SULF1	EPAS1	LOC703029				DENND3		DACH2			
OSR2	SSR2	ANO4				HCN4		LOC106994432			
FLRT2	COL21A1	ABCA8				DMTN		ADRA2A			
NUCB2	NXPH3	HS3ST3A1				GUCY2C		MELTF			
NOX4	ABCC4	LOC114670761				FLACC1		LOC114679949			
KLHL4	ANKS6	BMP5				TPD52		PTGES3L			
S100A4	COL5A3	ENO4				C3H7orf57		EDIL3			
TMEM204	CHPF	RBPMS				CDRT4		CFAP57			
GALNT18	AMOTL1	ADORA2B				ALDH3A1		THBS1			
TG	MDFIC	SLC6A11				SUSD4		HSD17B14			
CSRNP1	SFRP1	IL13RA1				STARD8		TMEM266			
TMEM30B	RGL1	GAS2				FAM92B		FST			
DCBLD2	TPM4	RXFP3				UGT3A2		LOC114673299			
GPER1	OSMR	LOC697687				RBKS		MAL2			
THSD4	IER5L	FMO1				LOC114672120		TMEM176B			
FER1L6	CALD1	LRRN4CL				ARMH1		ABCB1			
SLC17A9	ARL4A	CDH11				JAKMIP3		NRSN2			
HAPLN3	DSP	LOC106994243				LOC114677001		ABLIM3			
GPRIN2	SIX4	ST6GALNAC4				FAM183A					
CTHRC1	RASA3	MIR214				MPP7					
FNDC5	ARSJ	VCAM1				CFAP44					
EBF3	VIM	EOGT				LOC106998598					
RASSF3	WNT5B	PLPP1				EBF3					
CPE	PMEPA1	ADAM19				CFAP70					
TFPI	ZNF536	THY1				CFAP54					
LOC716834	PENK	SLC6A20				CPQ					
ARSJ	EFEMP1	SLC8B1				LOC106993427					
LMNA	TPM1	YBX3				KLHL34					
LOC106999304	MRC2	MAMU-E				UBE2QL1					
TNFAIP2	ALDH1A2	SDC1				LOC706031					
TGFB1I1	VSTM4	LOC697564				LOC723286					
ADAM19	FAM174B	MSRB2				NMB					
ERRFI1	SDC4	LOC697280				CAPSL					
LOC106998995	NHSL2	LAMC1				TBC1D8B					
SNTB2	CFI	ACAN				KIF6					
PPM1H	SLC29A1	SLFN12				GRIN2C					
OSMR	DOCK6	CTBS				PTPDC1					
DLG2	ARHGEF10	IL6R				WDR63					
TMEM92	AK4	TRABD2B				S100A2					
NALCN	MARC2	SP100				SPEF1					
WIPI1	MRGPRF	LOC114672190				MAP3K8					
SGMS1	PPIB	OTX2				APOL2					
PLXDC1	AARS	TRIM34				COL4A6					
LOC106992395	FAM129B	CDH13				TCTEX1D1					
SLC8A1	SHROOM4	PLLP				DDO					
ZIC1	TNXB	PLA2G4A				ANO3					
SLC16A5	BCHE	STAT5A				CA14					
COLEC12	LARP6	FSTL1				RIMS2					
SLC35F3	MFAP2	SLC9A9				LOC710527					
TPM2	CLDN11	SLC2A12				STK32A					
AGPAT2	ITIH2	TNFAIP6				EFCAB10					
TPD52L1	PTN	VAMP5				STBD1					
RNASET2	ANGPT2	ABCB1				SHROOM4					
ASIC2	MAN1A1	FCGRT				CEBPD					
MAN2A1	CMTM7	LOC694341				LOC708923					
DNAJA4	XBP1	DNAH6				C16H17orf97					
SYT12	RUNX1	GAS7				KCNG1					
CDH13	F3	ABLIM1				CUBN					
SASH1	RNASE4	TNMD				CHODL					
SIX3	ZFP36L2	GSTO1				LOC711690					
GARS	SAMHD1	TPCN1				LOC700241					
VSTM4	ERAP1	RARRES2				LOC106997914					
TBX15	RNASEL	NPAS2				SLC16A4					
DCLK3	SGMS1	FKBP7				LOC100426576					
RAB3IL1	LPAR1	ALX1				CFAP99					
CKAP4	IRS1	RHOC				COL14A1					
NPY5R	EPHB4	PRRX2				SLC17A9					
VRK2	ANXA5	S100A11-1				CLDN11					
PRR29	SGSH	NAAA				LOC107000308					
SERPINB9	CDH22	SULF2				PACRG					
XBP1	HHIPL1	TMEM30B				GRIN1					
LGI4	S100A11-1	TBX3				CARD10					
EPAS1	COLGALT1	PTGFR				OLFML1					
DSC2	ITGBL1	SELENOM				TMEM158					
P3H3	FGFR1	GNG11				LOC114679971					
TRABD2B	PCSK5	GPR179				STEAP3					
PRKG1	PDLIM2	ETS2				BHMT					
MGP	GRIP2	IFIT3				LOC106999692					
EXOC3L2	CYBRD1	MAN1A1				LOC106998550					
ABCB1	MYO1C	TRIM5				TNFRSF10C					
ALDH1A2	ANTXR2	FXYD5				PLEKHA7					
GADD45B	SESN2	LOC722133				SERPINA5					
CFAP52	RPN1	FZD1				TSGA10					
PSTPIP2	BMP6	ANKRD33B				PPP1R1B					
LOC106994648	CTSH	TSHZ2				CDH23					
TLR6	SASH1	SP140L				LOC106993801					
SLC35D2	PIEZO1	TAGLN				TMEM221					
CAST	SCGN	LRRC17				NEBL					
DHRS4	PMP22	CASTOR1				GLIPR1					
PPIC	RIN3	B3GNT8				CASZ1					
PRR5L	ECM2	RCSD1				LOC706528					
SLC43A3	RPRM	C13H2orf50				SPOCK2					
LMO7	PLEKHA2	PLEKHF1				TMCO4					
TUBB6	NENF	LOC106992650				LOC107000791					
IQCG	FREM1	SHOX2				HDC					
LOC100429203	ADM	CAST				TMEM200A					
DIO2	LOC106999647	BMP6				C1S					
SP140L	MCC	PPM1H				LOC114674519					
LOC114672335	AK5	GFAP				GPR37L1					
ACTG2	CD109	LOC711876				USP43					
FOXD3	P4HA2	FOXD2				RYR2					
KCTD12	TM4SF1	ENPP2				GALNT15					
TRIM22	SCARF2	S1PR2				TDRD5					
LOC100426950	RORA	PLEC				CERKL					
LOC114677739	SLC9A3R1	SLFN5				PPEF1					
BMP5	LOC723314	ADRA1A				CA13					
FERMT2	PLOD3	WNT16				INPP4B					
ZCCHC24	PRRX1	CTSL				OAS2					
MYO1C	GNG11	PIEZO2				RNF128					
KIAA0040	CALHM2	C15H9orf116				FZD5					
TINAGL1	FHOD1	RNASEL				C20H16orf46					
LOC114669765	KCNJ12	ID3				CCDC89					
C3H21orf62	FZD10	IL17RC				STAT4					
CDH6	PLTP	OTULINL				LOC106998916					
RHOD	FZD2	PIEZO1				HS3ST3A1					
TLL1	PPARGC1B	GASK1B				PRR5L					
SRPX	ARID5B	ADM				DRC1					
PRELP	PKNOX2	RASL12				RHBDL2					
FOXP2	NCOA7	CHST7				AQP1					
RET	ZNF521	KDELR3				TMEM176B					
RNF152	FLI1	LOC106995321				ENDOD1					
PDLIM7	GPR179	ARHGAP36				LOC114676226					
THBS2	SYNPO	PTGS1				ASNS					
MARCH3	B4GALT1	SRPX2				PXDNL					
CSGALNACT1	S1PR2	MFAP4				RASGEF1C					
PAPSS2	HSPB8	IRS1				DNAH5					
OSTF1	NFATC1	CDC42EP2				TTLL9					
MAP3K3	KCNQ1	FRAS1				RESP18					
RASD1	FHL2	GRASP				CCDC146					
SOD3	FAM102A	INPP5D				IL11					
LOC711440	AFF1	FER1L6				IKBKE					
GNG11	BST1	PDIA5				LRAT					
ISLR	INPP5A	SULT1C4				PLPP4					
TBX3	RGS6	CALHM2				BHMT2					
ST6GALNAC4	TMED9	NEFH				CHST15					
SLC15A3	GFPT2	LOC114669765				COL9A2					
PPIB	LOC703708	GATA6				KLF5					
HSPB1	IFIT2	VSIG4				VSIG8					
SLC9A3R2	LIMS2	THSD7B				LOC699417					
NR3C1	ECEL1	LOC106999304				GPRIN2					
ABCA5	TPT1	TNFRSF19				NMNAT2					
DOCK10	IGF2R	AEBP1				DBX2					
RASL11B	LRIG3	CASP7				NOX4					
ANO1	ADAMTS16	LIMS2				RSPH14					
ADCY9	GALNT12	KCNA1				FOSL1					
LOC114679503	CD164	HSPA6				TTLL10					
PRSS35	SMAD6	FES				PLEKHG6					
SIX4	CAMK2A	DHRS4				CCNA1					
TRIL	ALDH1A3	LOC100426950				LOC721200					
LOC723542	AJUBA	PRELP				C4H6orf118					
FLNC	TRH	FMO3				LOC106997185					
SCPEP1	CCBE1	NXPH3				KIAA2012					
ACCS	RASSF2	MSX2				BGN					
NRP1	SERINC2	LOC114676876				PSD4					
NGFR	SEPTIN9	PTPN14				MORN3					
ASPN	LOC100427153	INPP4B				PLA2G3					
LOC723286	NOTCH2	PRR29				CCDC148					
SERPINA3	TMEM200B	IGFBP3				TEKT3					
SPRN	LAYN	ZNF536				CNTNAP2					
COLEC11	ACSL1	NALCN				RBMS1					
CDKN2B	PRKCH	RASGRF2				RIPK4					
DUSP7	BTBD11	LOC106992927				DYNLT3					
EDN3	TRIL	CEBPD				GAP43					
LOC106993161	ENPEP	CAMK1D				PARM1					
IL17RA	LRP10	FOXJ1				LOC694113					
RBMS3	RAB13	PWWP3B				LRRIQ3					
WDR63	LOC697115	PTH1R				LIF					
FLNB	RPS12	CD34				BHLHE41					
SH2D3C	CHST14	LNX2				CCDC65					
L1TD1	ARSB	LYPD6B				DLEC1					
DPT	ARHGAP10	PARVB				DBNDD1					
LOC114677516	CLEC1A	S100A13				APLN					
TRIM34	LOC100430500	OSR2				LOC106994361					
CATSPERG	LOC114672189	FABP3				LRRTM3					
LGMN	PABPC4L	CEBPB				OAF					
ARHGEF5	SLC3A2	SPON2				SLC6A15					
PHLDB3	JDP2	EVA1A				MAOB					
MYO1D	LGALS3	LOC106993161				ACTA2					
LOC106999235	SH3D19	SGSH				ACSM5					
CRNDE	ID3	KAZALD1				SPTB					
CAMK2D	SLC1A4	ID1				PENK					
RASA3	GREB1L	METTL7B				CFAP77					
OSBPL10	CLN8	ARHGAP26				LOC114675134					
PDE4D	LOC696998	FNDC1				PAEP-1					
COLEC10	TFPI	SLC25A43				MRGPRF					
ADARB1	VKORC1	PAX8				LOC114679562					
ROR1	S1PR3	PERP				C14H11orf87					
ADM2	ICAM1	DMKN				UPP1					
LOC100430472	ANO1	CRLF1				NOX1					
MMP9	TRIM6	LOC723286				HOGA1					
LAMC1	TCIM	LSP1				CYSLTR2					
TCIRG1	PPP1R1B	TMEM200A				PTGES3L					
LOC114676270	CAPN6	SFRP4				GPC3					
LOC694178	ITM2C	CDH5				MYRF					
LOC106993347	ANO10	ROR2				LOC114678994					
TXNDC5	LOC703700	TNNT3				LOC114670499					
PELO	LOC106992509	TMEM37				ELOVL7					
DENND2A	MAF	PMEL				MAMU-F					
MYLK	DACT1	UBL4B				LOXL2					
STEAP3	ST6GALNAC4	WDR63				STUM					
RBMS2	GAL	LOC100427153				NIPAL2					
KIAA1671	MRVI1	LOC114671881				LOC106996887					
MMP11	PLXND1	LOC698738				ANO4					
IL34	CFB	CRIP1				LOC106999831					
LOC106996344	RAB29	GDF10				SYNPO					
SNCG	DNAJC3	CMKLR1				LOC114677740					
LOC100430473	PTGDR	RUBCNL				PLAUR					
LONRF3	ST5	KCNA5				MIR770					
PCK2	CYTL1	TDGF1				ASB14					
MPZ	LOC709635	PROS1				LOC114674671					
ADAMTSL1	WARS	WFDC1				ITM2A					
PRR35	GDF6	KCNS3				LOC106995020					
TNFAIP6	IL17RC	P4HA2				LOC106995078					
MAP1LC3C	NGFR	LOC720132				C1H1orf158					
GAS7	LATS2	S1PR3				LOC106998586					
COL23A1	FLNC	LOC695158				LOC114671932					
WNT5B	SCARA5	ACKR3				NWD2					
RRAS	SNTB1	LINGO2				KLF4					
SMOC2	SSPN	RAB29				BSX					
GLP2R	SLC7A11	MMP17				LRFN5					
LOC114676788	CARD10	WFIKKN2				GPHB5					
WNK4	EFNA3	FABP5				LOC114679515					
TMEM191C	TMED3	UNC93B1				PKIB					
ECM2	CDH7	CTNNA3				BST2					
FAM241A	SH3BP4	SNED1				SMIM5					
PPFIBP1	LSP1	CDH6				NMRK1					
SLC9A1	RPL23A	IQCA1				ICAM1					
PCSK9	TGM2	MYLIP				C11H12orf42					
GAB3	PAQR8	LRRC75A				BCL3					
MMP16	KCNB1	SYNDIG1				CCDC81					
NANS	TSPAN9	HCN1				LOC106996761					
JAG1	ARL1	RAB20				PATE2					
PPL	APOL6	TNIP3				ENTPD2					
ADAMTS12	ANXA4	COL4A2				NR1I2					
SIDT1	PEAR1	CRYM				LOC114674161					
CMYA5	FOXP4	ARHGAP28				C20H16orf86					
FZD10	WNT16	KERA				RAB3B					
TCAF2	LOC696748	TIMP3				C13H2orf73					
DSEL	NCR3LG1	CAV2				LOC114669767					
LOC114679539	VASN	CNTN1				LOC114672716					
CLIC4	CSF1	ABCA4				ETV7					
ITPR2	METTL24	ITGA9				MAPK15					
C13H2orf40	RECK	DRC1				COL24A1					
EDARADD	FMO1	LOC114679503				SNX10					
PGGHG	CCDC102A	CCDC3				LOC715928					
F5	FTL	NPC2				TEKT1					
RASSF8	FUT11	LOC701920				LOC114679972					
RASSF9	CPQ	PID1				CRYBG1					
PTP4A3	SIL1	LOC106995978				HSD17B14					
MATN3	PARP14	SLC45A3				SPON2					
LOC720465	TMEM26	LOC106993646				CABCOCO1					
TMEM63A	MT1A	PCBP3				MIR711					
SSH1	ID1	ARHGEF3				PLA2R1					
ROR2	REPS2	HSPG2				TGFBI					
FOXP4	UNC93B1	LOC100429195				LOC107000055					
LOC106993126	B3GLCT	TRIM21				LOC106998177					
IGFBP5	LOC702037	LOC114678892				CRNDE					
IL16	FXYD1	ECE1				LOC718900					
LEF1	CHST15	LOC114672189				LOC106999978					
EPB41L2	EDA	LOXL1				NHS					
DNM1	EIF4EBP1	CCN3				RAB27A					
ARSB	BCL3	TEKT1				EOMES					
RGS5	MYL12A	EDN1				C3AR1					
ANXA3	RFTN1	S100A11				SH3BGR					
ATP8B1	ABLIM1	EHD3				SLC2A5					
MAN1A1	EGFL7	HSBP1L1				PHYHIP					
PHLDA2	TCF7L1	P2RX7				SPTLC3					
CXCL11	CACNA2D2	LAMA4				ELF4					
ARRB1	NALCN	SVEP1				NRSN2					
TBC1D8B	STT3A	ITGB2				LOC114678408					
SLIT3	PXDC1	GPR37L1				LOC713152					
PDGFA	NEXN	DCLK3				MEIG1					
LOC114679648	AP3B1	TENT5B				ICAM3					
PCDHB8	HMOX1	SLITRK6				ABHD15					
SOX10	PBXIP1	RFTN1				APOBEC3B					
LOC114676451	LNX2	ARHGDIB				PAMR1					
DTD2	MSRB3	ABCA9				PLA2G4A					
LOC106992509	DCT	TRIL				CXCL14					
CARD6	WTIP	CEMIP				DOCK5					
MFAP4	SNX18	PCSK5				LOC106992948					
GDPD5	ANGPTL2	CFAP126				TENT5B					
UBE2E2	ASIC1	TNFAIP8L3				SLC16A3					
TNNT3	WNT5A	SIX4				NT5DC3					
PRSS16	DCHS2	KCNQ1				FOXD1					
MIR145	MINAR1	ASPA				LOC114679983					
LOC114671905	LOC708725	PM20D1				RNF183					
EDIL3	LOX	GPRIN2				TMEM102					
HTR1B	TSPAN4	LOC114673416				NAT16					
OAS2	SPRY1	USP43				LOC114672992					
FABP3	IGSF1	CTSO				LOC114679948					
FOXO1	CABLES1	TERB1				AXDND1					
RAB27A	GRASP	FADS3				LOC718365					
JADE2	EDN3	CLSTN2				LOC114670823					
DLK1	LOC114677029	GALNT12				LOC114680320					
JDP2	FZD1	LTBP2				LOC114671934					
MDFIC	SAMD5	MGST2				LOC114672715					
EIF4EBP1	CAVIN2	EXOC3L2				CAPS					
CACNG5	KLHL4	LPAR1				SLC16A5					
S100A6	MMP11	CMTM8				STC1					
ALX1	DHX32	RASSF8				LOC114672428					
KCNMB1	ENTPD7	SLC35D2				HAPLN1					
CIB2	AKAP7	LOC106997082				BTN3A3					
STX3	DDIT4	KCNJ12				LOC114671281					
RREB1	TMEM263	C3H21orf62				ACKR1					
CACNA1G	PIK3R1	SCUBE3				PPP1R42					
RBPMS	CRELD2	EFHD1				CFAP299					
ERFE	ACOT2	TNFAIP8				TRNAS-AGA-3					
PTCH2	POGLUT3	LRRC46				CRABP2					
PEAK1	LOC703057	C1H1orf115				FRZB					
LOC694341	LOC107000936	LOC114673966				SERPINA1					
ITPR1	FMO4	SLC39A4				GEM					
PAPPA	SLC25A43	ADAMTS1				LOC114676750					
FRRS1L	IFI16	LOC703700				LOC693813					
PAX2	ANXA6	IFI35				FAM133A					
PDIA3	SCRG1	CLEC2B				PAK6					
SOSTDC1	SNX5	LOC106993196				CHRDL2					
CLIC5	KCNA5	SIDT1				ADORA2B					
PRSS23	GAS6	EPHX1									
TAP2	F2RL2	FAM129B									
LRRC75A	NAV2	HRCT1									
LHFPL2	PTH1R	RAPGEF5									
SFXN3	ZMAT4	THSD4									
SLC20A2	PPARD	MIR604									
PERP	LHFPL6	MT3									
ARAP1	TMBIM1	KIF19									
TTC39A	LOC106995639	ARHGAP22									
FKBP11	ITGA3	CASQ2									
TYSND1	ALX3	ALCAM									
LOC100423616	RELN	MTUS2									
SLC29A1	NANOS1	PRX									
HMOX1	TNFRSF1B	TSPAN9									
LOC114677731	CTSZ	AK7									
ACOT2	CHRNA3	WNT5A									
GSDMD	FABP3	SLC6A1									
APOBEC3B	TGFB1I1	PLBD1									
NOTCH3	PARD6G	ZNF860									
LOC696748	LOC106999572	RXRG									
VAX1	C1H1orf115	TMIE									
CTBS	CRISPLD1	COL5A3									
FKBP5	TMEM173	PQLC3									
CALR	STAC2	EFEMP1									
COL8A1	WNT11	EDARADD									
KIAA1755	VAMP5	C1QTNF5									
CTSL	RHOB	IGFBP2									
ANKS6	VSIR	JAZF1									
CTDSPL	HTR1F	STK32B									
PTGER2	NFKBIZ	FIBCD1									
BICC1	AGPAT2	KIAA1755									
WSCD2	FOXF2	LOX									
ACTA2	TAP2	C14H11orf87									
JPH2	FMN1	GPRC5C									
TBL1X	TFAP2B	ISL1									
ECSCR	OSTC	LOC114673589									
ITGA1	HEXA	MRGPRF									
CAMK1	DHX58	CAPSL									
PLAT	EVC	CAMK2A									
SOX13	MYO3A	NHS									
LOC695267	C2H3orf36	FKBP10									
C5H4orf36	RASL10B	ALDH1A1									
ASS1	CSTA	RSPH4A									
SFRP4	PLEKHA4	APOBEC3F									
ANO10	LOC711061	SP110									
TEKT1	GPRC5A	ADAMTSL4									
POSTN	MALT1	BAG2									
RAB30	BMP5	NFATC1									
LOC114672190	EGFL6	FERMT1									
CDH3	GALNT17	FGF19									
AQP1	LPCAT2	DTX3L									
UTRN	HMCN1	HPGD									
CAPN2	PLAAT3	ELK3									
SLC4A11	TRPC5	PODN									
MIR143	SIX3	FAS									
MSX2	ACKR3	INKA1									
TSC22D3	IQCA1	SPATA20									
ADGRE2	LOC114672190	RGS6									
SPTLC2	DCDC1	PLTP									
PPP1R15A	DKK2	DUSP6									
KLF6	PREP	SULT1E1									
DOCK9	TRPM4	LOC114673061									
ENO4	ADAMTS2	DRD1									
DNAH11	CNTN4	AHNAK2									
CFAP61	EOGT	SUSD2									
LOC703057	EPSTI1	CLCF1									
LOC114671881	PTGFR	ENPP1									
C7	ZBTB7B	QPCT									
SH3D19	SLCO2A1	ITGB4									
HSPA5	CRYAA	LOC114680575									
MXRA5	GPNMB	LOC723542									
ITIH2	STRA6	PRSS35									
LOC114679975	GAS2	SMAD6									
P4HA3	PDLIM1	PPP1R14A									
PRDX4	ANO4	SPRY1									
ZBTB7B	RGS3	PXDC1									
BTN3A3	ATF5	RGS5									
PALM2	SLC15A3	NKX2-2									
C3H7orf57	PRX	LOC106994534									
CDC42EP1	PROCR	SLC6A9									
PGF	GSTO1	IGSF21									
LOC106992782	MEOX2	PREP									
PLN	CA11	LOC114677465									
CLDN11	CASR	FBXO6									
CASTOR1	IL17RA	HSD3B7									
TPM4	PTHLH	THBS2									
CTSH	LINGO2	LOC114676132									
PLD1	DLK1	SALL4									
CHRNA1	RARRES1	ROR1									
HCAR1	HYDIN	PLAG1									
LOC114680206	PLAU	APOL6									
ESYT1	FADS3	ITGA3									
EGR2	RBMS2	ACTC1									
GPRC5A	LGI4	SMOC2									
PCDH1	LOC106998085	TMEM109									
LOC106995402	C1QTNF7	FAM92B									
PDIA6	TRIM56	DIO3									
C7H15orf39	LOC711432	LOC711820									
COL24A1	LURAP1L	TCEA3									
STAT5A	FLT1	SCUBE2									
NRBF2	TMEM204	GPRIN3									
PTGIR	LOC720405	PROCR									
FAIM	CPZ	CDKL1									
INHBE	RNASET2	IGSF1									
MYOF	LOC114677425	CX3CL1									
CYP27A1	PRRX2	MLKL									
STBD1	TRPC7	REPS2									
EGFL7	SSC5D	ZNF648									
SULT1C4	PAX2	FHL3									
EPS8	TNFRSF10D	SLC16A4									
C1QTNF6	PLCD3	AJAP1									
FAM20A	NUAK2	LOC114677064									
EGFL6	LOC697687	OSBPL10									
SLC17A7	SYDE1	SUSD4									
TERB1	SLC17A5	COLGALT2									
FOXS1	PMEL	LOC721315									
CDKL1	PDGFD	ERICH2									
LOC114673480	LOC106995376	LOC707129									
